n_update;cutoff_factor;n_seeds;speedup_valid;speedup_median;list_error_max;cutoff_error_max;total_error_valid;total_error_max;list_force_absolute_l2_max_kJ_per_mol_nm;cutoff_force_absolute_l2_max_kJ_per_mol_nm;total_force_absolute_l2_max_kJ_per_mol_nm;list_energy_absolute_error_max_kJ_mol;cutoff_energy_absolute_error_max_kJ_mol;total_energy_absolute_error_max_kJ_mol;n_missing_pairs_max;missed_pair_fraction_max;acceptable
1;1,0;3;3;78,55689928555852;0,0;0,5352111794547352;3;0,5352111794547352;0,0;188,84602182616075;188,84602182616075;0,0;124,97935186116497;124,97935186116497;0;0,0;False
1;2,0;3;3;59,95900993367293;1,2432145097143794e-18;0,021393028803052782;3;0,021393028803052782;9,155133597044475e-16;7,512741255050161;7,512741255050161;1,4210854715202004e-14;20,846485109304325;20,846485109304325;0;0,0;False
1;2,1;3;3;61,72684971203841;2,608741761647251e-18;0,016434025441763388;3;0,016434025441763388;9,003465519412997e-16;5,706439197757498;5,706439197757498;1,4210854715202004e-14;17,882014129777403;17,882014129777403;0;0,0;False
1;2,2;3;3;59,18546361815464;3,613294380718057e-18;0,01245838314705455;3;0,01245838314705455;1,3404104017497224e-15;4,374158898613919;4,374158898613919;1,4210854715202004e-14;15,219627074927416;15,219627074927416;0;0,0;False
1;2,3;3;3;61,37055208191478;4,208579900410577e-18;0,00951942243349278;3;0,00951942243349278;1,5614207365728823e-15;3,501539419411268;3,501539419411268;1,4210854715202004e-14;13,432079018498243;13,432079018498243;0;0,0;True
1;2,4;3;3;60,7675422994886;3,244447660152073e-18;0,0075744198004300345;3;0,0075744198004300345;1,431515843110592e-15;2,7286458768106843;2,7286458768106843;1,4210854715202004e-14;11,67100297898881;11,671002978988795;0;0,0;True
1;2,5;3;3;57,5269925929141;3,2305783355627637e-18;0,0061372619960723684;3;0,0061372619960723684;1,564208921339523e-15;2,11531310008234;2,11531310008234;1,4210854715202004e-14;10,467901599203486;10,467901599203486;0;0,0;True
1;2,6;3;3;57,751233389950805;4,206754907118269e-18;0,005169120788828886;3;0,005169120788828886;1,831039867244269e-15;1,7816265468631327;1,7816265468631327;1,4210854715202004e-14;9,524769542013871;9,524769542013871;0;0,0;True
1;2,7;3;3;57,06203448555085;4,999735238371247e-18;0,00401919641926743;3;0,00401919641926743;1,855112993223203e-15;1,3971508155475554;1,3971508155475554;2,842170943040401e-14;8,297519443436144;8,29751944343613;0;0,0;True
1;2,8;3;3;56,1894143396061;1,6796189804904642e-17;0,0033653648039817566;3;0,0033653648039817566;7,16594594018858e-15;1,1768271855570664;1,1768271855570664;1,4210854715202004e-14;7,477662170993085;7,477662170993085;0;0,0;True
1;2,9;3;3;56,45425716138843;1,701426880281825e-17;0,002775621108039905;3;0,002775621108039905;7,258991789218987e-15;0,9769192450114019;0,9769192450114019;2,842170943040401e-14;6,786947176061332;6,786947176061332;0;0,0;True
1;3,0;3;3;54,659489481190064;1,699037108350903e-17;0,0022619758233272235;3;0,0022619758233272235;7,248776551027633e-15;0,7985288930762439;0,7985288930762439;1,4210854715202004e-14;6,088961634803539;6,088961634803539;0;0,0;True
2;1,0;3;3;161,41671212197735;0,0;0,5727505020928496;3;0,5727505020928496;0,0;202,10188580910037;202,10188580910037;0,0;125,11340866723347;125,11340866723347;0;0,0;False
2;2,0;3;3;123,37999833391564;1,317829226001297e-18;0,022090491874905936;3;0,022090491874905936;6,684427777288335e-16;7,512741255050161;7,512741255050161;1,4210854715202004e-14;20,846485109304325;20,846485109304325;0;0,0;False
2;2,1;3;3;117,7056505910903;2,608741761647251e-18;0,016955361147532017;3;0,016955361147532017;9,003465519412997e-16;5,7123995612311536;5,7123995612311536;2,842170943040401e-14;17,865642707757175;17,865642707757175;0;0,0;False
2;2,2;3;3;125,86155258964095;3,613294380718057e-18;0,013213478643625525;3;0,013213478643625525;1,3404104017497224e-15;4,45212088037893;4,45212088037893;1,4210854715202004e-14;15,378989449130529;15,378989449130529;0;0,0;False
2;2,3;3;3;114,52431567806974;4,208579900410577e-18;0,010229578825366438;3;0,010229578825366438;1,5614207365728823e-15;3,501539419411268;3,501539419411268;1,4210854715202004e-14;13,432079018498243;13,432079018498243;0;0,0;False
2;2,4;3;3;121,6636740523048;3,244447660152073e-18;0,008081169587990997;3;0,008081169587990997;1,2853446442662687e-15;2,7286458768106843;2,7286458768106843;1,4210854715202004e-14;11,67100297898881;11,671002978988795;0;0,0;True
2;2,5;3;3;119,2194581775582;3,2305783355627637e-18;0,006219732522243974;3;0,006219732522243974;1,3417208604129843e-15;2,1207160685980653;2,1207160685980653;1,4210854715202004e-14;10,467901599203486;10,467901599203486;0;0,0;True
2;2,6;3;3;116,61947523990277;4,206754907118269e-18;0,005169120788828886;3;0,005169120788828886;1,7559789261869217e-15;1,7816265468631327;1,7816265468631327;2,842170943040401e-14;9,524769542013871;9,524769542013871;0;0,0;True
2;2,7;3;3;115,1662613899697;4,999735238371247e-18;0,004159781800942738;3;0,004159781800942738;1,855112993223203e-15;1,401610605159427;1,401610605159427;2,842170943040401e-14;8,297519443436144;8,29751944343613;0;0,0;True
2;2,8;3;3;109,93708029678254;1,8187873491435847e-17;0,0034464662664584;3;0,0034464662664584;7,182687020190906e-15;1,1768271855570664;1,1768271855570664;1,4210854715202004e-14;7,477662170993085;7,477662170993085;0;0,0;True
2;2,9;3;3;112,35286702706148;1,802292006520928e-17;0,0028559105193660464;3;0,0028559105193660464;7,258991789218987e-15;0,9769192450114019;0,9769192450114019;2,842170943040401e-14;6,781791467693651;6,781791467693651;0;0,0;True
2;3,0;3;3;109,33923757084541;2,178712006067915e-17;0,0023589629206480695;3;0,00235896292064807;7,340718518727296e-15;0,7984477301303675;0,7984477301303674;1,4210854715202004e-14;6,099680427225579;6,099680427225579;0;0,0;True
3;1,0;3;3;237,43705799580786;0,0;0,685284816666887;3;0,685284816666887;0,0;261,34719186003247;261,34719186003247;0,0;125,11340866723347;125,11340866723347;0;0,0;False
3;2,0;3;3;192,7842034963806;1,6796643470292216e-18;0,022090491874905936;3;0,022090491874905936;1,0934428697813141e-15;7,470325071489939;7,470325071489939;1,4210854715202004e-14;20,8319667532336;20,831966753233587;0;0,0;False
3;2,1;3;3;183,0805408083514;1,976936130867369e-18;0,016955361147532017;3;0,016955361147532017;8,881784197001252e-16;5,7123995612311536;5,7123995612311536;2,842170943040401e-14;17,882014129777403;17,882014129777403;0;0,0;False
3;2,2;3;3;187,82971157297007;2,871779234971509e-18;0,013213478643625525;3;0,013213478643625525;1,1157603309187458e-15;4,45212088037893;4,45212088037893;1,4210854715202004e-14;15,378989449130529;15,378989449130529;0;0,0;False
3;2,3;3;3;183,05653113938777;3,260362526486531e-18;0,010229578825366438;3;0,010229578825366438;1,2875154567548709e-15;3,479362966380899;3,479362966380899;1,4210854715202004e-14;13,448781966729555;13,44878196672957;0;0,0;False
3;2,4;3;3;175,77366084583522;2,917392001849851e-18;0,008081169587990997;3;0,008081169587990997;1,431515843110592e-15;2,7344939426072927;2,7344939426072927;1,4210854715202004e-14;11,72920958426964;11,729209584269654;0;0,0;True
3;2,5;3;3;173,39269777928112;2,6656671850078934e-18;0,006219732522243974;3;0,006219732522243974;1,564208921339523e-15;2,142133777943118;2,142133777943118;1,4210854715202004e-14;10,457144494445345;10,45714449444533;0;0,0;True
3;2,6;3;3;166,93281450425752;4,758535556863092e-18;0,004942420804519135;3;0,004942420804519135;1,831039867244269e-15;1,7609822167639713;1,7609822167639713;2,842170943040401e-14;9,489448885775246;9,489448885775246;0;0,0;True
3;2,7;3;3;167,84733090724166;3,3605427450103256e-18;0,004159781800942738;3;0,004159781800942738;1,4881945906191509e-15;1,4167164921030198;1,4167164921030198;1,4210854715202004e-14;8,413596361494328;8,413596361494328;0;0,0;True
3;2,8;3;3;160,67064486237607;1,8187873491435847e-17;0,0034464662664584;3;0,0034464662664584;7,182687020190906e-15;1,175747277051503;1,175747277051503;1,4210854715202004e-14;7,483972365863593;7,483972365863593;0;0,0;True
3;2,9;3;3;166,08512718986327;1,802292006520928e-17;0,0028559105193660464;3;0,0028559105193660464;7,117527085423554e-15;0,9732321809003421;0,9732321809003421;1,4210854715202004e-14;6,786947176061332;6,786947176061332;0;0,0;True
3;3,0;3;3;163,7668163352606;2,178712006067915e-17;0,0023589629206480695;3;0,00235896292064807;7,351516584898547e-15;0,7985605552866731;0,7985605552866731;1,4210854715202004e-14;6,112133478014357;6,112133478014371;0;0,0;True
4;1,0;3;3;311,4013934026311;0,0;0,542491969280093;3;0,542491969280093;0,0;214,76898917628748;214,76898917628748;0,0;125,57474127912593;125,57474127912593;0;0,0;False
4;2,0;3;3;249,67863447705093;2,4564901166559197e-18;0,02246008428598406;3;0,02246008428598406;1,3322676295501878e-15;7,464916856483253;7,464916856483253;1,4210854715202004e-14;20,77962718354813;20,77962718354813;0;0,0;False
4;2,1;3;3;237,58683961628657;2,4610655999124625e-18;0,01705697406717177;3;0,01705697406717177;9,930136612989092e-16;5,7571194119558005;5,7571194119558005;1,4210854715202004e-14;17,87244167701985;17,87244167701985;0;0,0;False
4;2,2;3;3;234,13179818136575;3,7883060538302106e-18;0,013497391801758;3;0,013497391801758;1,3699000466497265e-15;4,433997449926242;4,433997449926242;1,4210854715202004e-14;15,326883660641599;15,326883660641599;0;0,0;False
4;2,3;3;3;240,8983756082314;4,211404841336607e-18;0,010183069815317549;3;0,010183069815317549;1,5624688148904796e-15;3,4461578206752317;3,4461578206752317;1,4210854715202004e-14;13,432901688022639;13,432901688022639;0;0,0;False
4;2,4;3;3;233,01710518104068;2,985236202091651e-18;0,008275977528221344;3;0,008275977528221344;1,1027384852657046e-15;2,7211794250685517;2,721179425068552;1,4210854715202004e-14;11,778295380813148;11,778295380813148;0;0,0;True
4;2,5;3;3;235,92973555435063;3,0239848722134876e-18;0,006318234164366967;3;0,006318234164366967;1,2761529535968041e-15;2,1529311601128263;2,1529311601128263;1,4210854715202004e-14;10,446427375228097;10,446427375228083;0;0,0;True
4;2,6;3;3;228,8119298522244;4,206754907118269e-18;0,005069387415021035;3;0,005069387415021035;1,5308086947209207e-15;1,754185097872213;1,754185097872213;1,4210854715202004e-14;9,478789299832812;9,478789299832812;0;0,0;True
4;2,7;3;3;228,96429663586582;4,999735238371247e-18;0,004297895012646229;3;0,004297895012646229;1,855112993223203e-15;1,415085981923988;1,415085981923988;1,4210854715202004e-14;8,383472725826977;8,383472725826962;0;0,0;True
4;2,8;3;3;224,98487815322292;4,644298846884225e-18;0,0035433716243847228;3;0,0035433716243847228;2,2558136244657917e-15;1,1768271855570664;1,1768271855570664;1,4210854715202004e-14;7,5358927112909555;7,53589271129097;0;0,0;True
