n_update,cutoff_factor,n_seeds,speedup_valid,speedup_median,list_error_max,cutoff_error_max,total_error_valid,total_error_max,list_force_absolute_l2_max_kJ_per_mol_nm,cutoff_force_absolute_l2_max_kJ_per_mol_nm,total_force_absolute_l2_max_kJ_per_mol_nm,list_energy_absolute_error_max_kJ_mol,cutoff_energy_absolute_error_max_kJ_mol,total_energy_absolute_error_max_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max,acceptable
9,1.0,3,3,390.52937354542365,,1.0,3,1.0,0.0,5.768765163639748,5.768765163639748,0.0,0.4265496479204426,0.4265496479204426,0,0.0,False
9,2.0,3,3,366.20664858008314,1.0,1.0,3,1.0,3.400705221618381,0.32009065872786263,3.400904203997594,0.23194074984130297,0.04737614540804774,0.24777190515573252,1,1.0,False
9,2.5,3,3,381.63652219609475,1.0,1.0,3,1.0,0.18920503822306933,0.18836498633988505,0.2265672021780552,0.018619695588988235,0.04032159065740872,0.04032159065740872,1,1.0,False
9,3.0,3,3,375.9267794107705,0.8359033942529852,1.0,3,1.0,0.18920503822306933,0.05386361891020949,0.19012687804205164,0.018619695588988232,0.019179913076377193,0.027316303445833544,1,0.5,False
9,5.0,3,3,367.4636257210141,0.06272417852413159,0.05494128663718659,3,0.08330973662618668,0.005167433241405129,0.002891065881659107,0.005566490324384638,0.0013850404025311236,0.0034311469104815508,0.004263822589175691,3,0.25,False
9,7.5,3,3,344.88322212086115,0.004734813484570928,0.005119513573250808,3,0.006967022217634662,0.0002694745904503855,0.0002715598923059551,0.00034597607020115794,0.00015584657547687564,0.0008193158327049199,0.0008858343505399879,5,0.1111111111111111,True
9,10.0,3,3,296.3468683981468,0.00033566170135261526,0.0009251269380302526,3,0.0009906688239110202,4.168283480603315e-05,4.965107822455239e-05,6.145278382395021e-05,2.7815370263813144e-05,0.00032653478971804775,0.0003402559343409911,6,0.06976744186046512,True
9,11.0,3,3,304.4440433878003,0.00040959447452248906,0.0006068307866387927,3,0.0007340099100845427,2.3129169199006275e-05,2.8433197863864098e-05,3.318434482817819e-05,1.8675573196631767e-05,0.0002463173475455299,0.0002629188886702702,7,0.0660377358490566,True
9,12.0,3,3,288.5552218609946,0.00022572363899898723,0.00041902873171734963,3,0.0004818684597010835,1.206644166582233e-05,1.8681144434956663e-05,2.148266601536555e-05,1.602012447768364e-05,0.00019664217532403688,0.00020841449224839187,9,0.06870229007633588,True
9,13.0,3,3,281.6761474778297,0.00017173393113330493,0.00024039616397155024,3,0.000296720921647553,7.65624141850401e-06,1.1681437718480904e-05,1.3228416025847462e-05,1.2241653137762265e-05,0.00015348404570202437,0.00016030107677945937,11,0.06111111111111111,True
9,14.0,3,3,264.88597642657487,7.180257240935478e-05,0.00017448613418350159,3,0.0001879316838477891,4.4286049285039985e-06,7.894587612894699e-06,9.131659543468083e-06,8.083569596053358e-06,0.0001208042956840176,0.0001288440706234198,12,0.05555555555555555,True
9,15.0,3,3,267.84070154993424,5.63894662022821e-05,0.00011541747720682635,3,0.00012804391565508284,2.513947709759805e-06,5.145543392476697e-06,5.7084554271204174e-06,5.01085303583268e-06,9.637141438934016e-05,0.00010069918267474956,12,0.04411764705882353,True
10,1.0,3,3,403.84217584667925,,1.0,3,1.0,0.0,9.837712818474218,9.837712818474218,0.0,0.7756629910129216,0.7756629910129216,0,0.0,False
10,2.0,3,3,406.5509047886024,1.0,1.0,3,1.0,3.3912036601695723,0.261104640719697,3.391622244990605,0.2313503966688481,0.043010127843700244,0.24946159077683872,1,1.0,False
10,2.5,3,3,412.9341660335908,1.0,1.0,3,1.0,2.20744617034188,0.13165656454236493,2.2093324407843236,0.15730673133880255,0.030659447102362535,0.17491038524528812,1,1.0,False
10,3.0,3,3,410.71968731395356,0.9991490538056205,1.0,3,1.0,2.20744617034188,0.06974171132885046,2.2074909403583605,0.15730673133880255,0.02108446972555158,0.16508304123072012,1,0.5,False
10,5.0,3,3,392.0788365623265,0.08453864007553363,0.05818441893664777,3,0.08837969216583126,0.012077120730477155,0.0025662723228972975,0.012230872200147213,0.0024828178918399613,0.0033162585982849727,0.004976311866476346,4,0.4,False
10,7.5,3,3,375.1573158814956,0.004420828670683246,0.0054741109556561435,3,0.0070339726087911185,0.0002917547893314676,0.0002687956097553558,0.0003758295402608746,0.00018233140412918236,0.0008157408598852278,0.0009980722640144102,6,0.17142857142857143,True
10,10.0,3,3,332.3141330442974,0.0004493820824961398,0.001081041205155762,3,0.0011498763457854532,5.1851125414623973e-05,5.0897675281070174e-05,6.818442680918943e-05,3.589314689748241e-05,0.0003322788218464712,0.0003431879371272213,6,0.07058823529411765,True
10,11.0,3,3,329.2248705252691,0.0005203313949873515,0.0006281403998933805,3,0.0008267471897274893,2.7530847973488657e-05,2.7561083540818393e-05,3.5639596806210234e-05,2.997233789200221e-05,0.0002445760847306251,0.0002647206592873465,11,0.10091743119266056,True
