n_update,cutoff_factor,cutoff_radius_nm,seed,original_runtime_s,optimized_runtime_s,speedup,list_force_relative_l2,cutoff_force_relative_l2,total_force_relative_l2,list_force_absolute_l2_kJ_per_mol_nm,cutoff_force_absolute_l2_kJ_per_mol_nm,total_force_absolute_l2_kJ_per_mol_nm,list_energy_absolute_error_kJ_mol,cutoff_energy_absolute_error_kJ_mol,total_energy_absolute_error_kJ_mol,n_missing_pairs_max,missed_pair_fraction_max
10,14.0,4.760000000000001,1,37.92647200002102,0.12928595795528963,293.35337417801367,9.496698274845858e-05,0.0001884080032698823,0.00021102165071982406,5.11971207023458e-06,7.796610329341853e-06,9.310992690619453e-06,9.333926677609905e-06,0.00012014238650898817,0.0001283349885283329,13,0.0593607305936073
9,13.0,4.42,3,38.47436808299972,0.13659079204080626,281.6761474778297,6.01540648582471e-05,0.00014512122936481963,0.00015865550708618763,5.168615695882761e-06,1.1681437718480904e-05,1.2763526708682579e-05,6.817031077435004e-06,0.00015348404570202437,0.00016030107677945937,7,0.041666666666666664
12,3.0,1.02,1,37.92647200002102,0.07493662496563047,506.1139598616287,0.2565863169310684,1.0,1.0,0.07729749851843448,0.05733973391123086,0.08242133654203182,0.008628839149983792,0.022071639524634905,0.022071639524634905,1,0.5
10,7.5,2.5500000000000003,2,38.32349537499249,0.10053854197030887,381.1821280072892,0.002031177859605739,0.0017298880190386207,0.0026671151891781418,0.00022879720059684289,0.0002019438314341908,0.00030044705211053227,0.00012707710373698056,0.0006493124377282,0.0007593793659651515,4,0.09523809523809523
14,5.0,1.7000000000000002,2,38.32349537499249,0.06833879195619375,560.7868426992163,0.05294202436761808,0.024348490935474643,0.05844233082761332,0.01203327828387715,0.0025875780544877655,0.012254475053192214,0.0020575137873107135,0.0029742503788318282,0.0047609846607128276,3,0.3
11,12.0,4.08,1,37.92647200002102,0.11083745898213238,342.1809950202394,0.0005090985584324925,0.0005683631626239224,0.0007629508545221358,1.605882423265555e-05,1.8643170179682176e-05,2.4066250210418404e-05,2.9905713883008472e-05,0.0001978695264161813,0.00021739687357057343,18,0.12949640287769784
9,1.0,0.34,3,38.47436808299972,0.09851849998813123,390.52937354542365,,1.0,1.0,0.0,0.2264705477208933,0.2264705477208933,0.0,0.04014425228621263,0.04014425228621263,0,0.0
9,14.0,4.760000000000001,2,38.32349537499249,0.1407950830180198,272.19342148537686,1.4727068642462889e-05,3.9817498387784725e-05,4.241098989453981e-05,3.589871696922616e-06,7.49976117909986e-06,8.117088586005112e-06,5.0478328760816815e-06,0.00011868927374930616,0.00012373710662538784,8,0.0425531914893617
14,12.0,4.08,3,38.47436808299972,0.08620825002435595,446.2956627947994,0.0001355510172028874,0.00018145216678860826,0.000227677547461516,1.5526548145223696e-05,1.710812945248685e-05,2.3037327953851243e-05,2.5973109791410653e-05,0.00018999028885520464,0.0002127816656853146,14,0.1
13,3.0,1.02,3,38.47436808299972,0.0666343750199303,577.3951968708652,0.8095384667993683,0.47403860219076394,0.8134010264562254,0.13406947972211372,0.04063052894882697,0.1359506738218962,0.013847212864495658,0.015598288339106916,0.023059716549418324,1,0.5
