step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
0;0;-109,575074031572;7502,23607334008;7392,66099930851;300,770533542369
1;0,01;-111,590313037461;7503,32004929658;7391,72973625912;300,813990989401
2;0,02;-113,026654501943;7504,6449234372;7391,61826893526;300,867106233744
3;0,03;-113,934002560628;7447,42072255531;7333,48671999468;298,572943098576
4;0,04;-114,630519052143;7457,8526299912;7343,22211093906;298,991166456877
5;0,05;-115,031025324445;7511,30651927751;7396,27549395306;301,134174840429
6;0,06;-115,177399830533;7474,77702695699;7359,59962712646;299,669678817128
7;0,07;-114,921390706753;7462,28355931513;7347,36216860838;299,168805891816
8;0,08;-114,241186495972;7442,55667942364;7328,31549292766;298,377939791084
9;0,09;-113,028957312475;7435,1350074762;7322,10605016372;298,080399136593
10;0,1;-111,215807531516;7448,77686256854;7337,56105503703;298,627311816296
11;0,11;-108,719505882155;7429,03245758278;7320,31295170063;297,835743120777
12;0,12;-106,084604644413;7387,84861350634;7281,76400886192;296,184650481849
13;0,13;-104,001043131816;7371,27739554829;7267,27635241647;295,520297345268
14;0,14;-102,851478110092;7325,98189814659;7223,1304200365;293,704365296824
15;0,15;-102,841689351461;7330,72250379471;7227,88081444325;293,8944198987
16;0,16;-103,563551988927;7349,36238044;7245,79882845108;294,641707185978
17;0,17;-104,464480280213;7362,74549615018;7258,28101586997;295,178246800736
18;0,18;-105,571378813144;7373,89822603243;7268,32684721928;295,625368496767
19;0,19;-107,016686438392;7399,29678055569;7292,2800941173;296,643616485831
20;0,2;-108,805734063389;7412,03700531016;7303,23127124677;297,154382097496
21;0,21;-110,790428532545;7412,7654760338;7301,97504750125;297,183587060666
22;0,22;-112,557659964103;7411,22653777311;7298,66887780901;297,121889817707
23;0,23;-113,859433764109;7400,93731073725;7287,07787697314;296,709386628649
24;0,24;-114,768938197925;7418,1698999725;7303,40096177458;297,400254658919
25;0,25;-115,297736689579;7457,87739163075;7342,57965494117;298,992159170444
26;0,26;-115,432669049781;7466,34055057057;7350,90788152079;299,331453856042
27;0,27;-115,220211188702;7485,35167224572;7370,13146105702;300,093624648
28;0,28;-114,659729116102;7483,97850959796;7369,31878048186;300,038573479499
29;0,29;-113,867261982615;7521,46871059634;7407,60144861372;301,541585067866
30;0,3;-112,833337421638;7490,86803507919;7378,03469765755;300,314779964417
31;0,31;-111,413788014228;7473,49215859308;7362,07837057885;299,618167435779
32;0,32;-109,853303910849;7530,53895091604;7420,68564700519;301,90521812255
33;0,33;-108,421546023929;7506,59608270422;7398,17453668029;300,945329740446
34;0,34;-107,390567331153;7488,69413733508;7381,30357000392;300,227626697315
35;0,35;-106,893423757327;7499,33825753856;7392,44483378124;300,654357832059
36;0,36;-106,700755126573;7532,07151363605;7425,37075850948;301,966659765079
37;0,37;-105,982853679656;7532,28531084724;7426,30245716758;301,97523106311
38;0,38;-104,439759260718;7534,62939323955;7430,18963397883;302,069207166356
39;0,39;-102,262396920679;7534,92389394141;7432,66149702073;302,08101393068
40;0,4;-100,536653362882;7586,13800380912;7485,60135044624;304,134227799083
41;0,41;-99,4774367348226;7613,87315565082;7514,39571891599;305,246151808905
42;0,42;-98,6940532240134;7650,6786891355;7551,98463591148;306,721714539174
43;0,43;-98,3536850816865;7664,44760779925;7566,09392271757;307,273721297201
44;0,44;-98,3676115028371;7665,35157230683;7566,98396080399;307,309961943935
45;0,45;-99,2549174599467;7659,58088179361;7560,32596433366;307,078610431186
46;0,46;-101,357846202055;7703,86412323111;7602,50627702906;308,853960343391
47;0,47;-104,271978520166;7723,89535021185;7619,62337169169;309,657027957847
48;0,48;-107,081275089784;7706,80830912198;7599,7270340322;308,971995066983
49;0,49;-109,127433657291;7651,68140460487;7542,55397094758;306,761914189487
50;0,5;-110,372151073227;7663,53320433231;7553,16105325908;307,237062144392
51;0,51;-111,003933846619;7700,35302546317;7589,34909161655;308,713197677612
52;0,52;-111,175155973444;7716,15637406674;7604,9812180933;309,346766328983
53;0,53;-111,323982866396;7688,15990300247;7576,83592013608;308,224365826388
54;0,54;-111,620216105844;7665,13998225281;7553,51976614697;307,301479132568
55;0,55;-112,092249647016;7630,05114720675;7517,95889755974;305,894740190337
56;0,56;-112,925188667951;7651,71365872846;7538,78847006051;306,763207282622
57;0,57;-113,856508701632;7589,65457649588;7475,79806779425;304,275209958655
58;0,58;-114,482256326441;7542,20735414929;7427,72509782285;302,373013568034
59;0,59;-114,728814844251;7584,90575452234;7470,17693967809;304,084825957842
60;0,6;-114,665108343043;7613,87889730011;7499,21378895707;305,246381996133
61;0,61;-114,406025340742;7619,56341493172;7505,15738959098;305,474278770411
62;0,62;-113,957839808408;7616,30898625565;7502,35114644724;305,343806170015
63;0,63;-113,295719890812;7647,55592352684;7534,26020363603;306,596520414508
64;0,64;-112,485595884869;7645,44365064993;7532,95805476506;306,511837736708
65;0,65;-111,727747448411;7643,51678656514;7531,78903911673;306,434588242933
66;0,66;-111,216884274465;7611,36234981477;7500,14546554031;305,14549163192
67;0,67;-111,148662916746;7653,14751194695;7541,9988490302;306,820691583746
