step;time_ps;total_force_error_percent;total_potential_energy_error_kJ_mol
0;0;42,5193494850071;121,442633357585
20;0,2;86,2125412817894;110,414221383283
40;0,4;99,9997741469634;1198,19886939378
48;0,48;99,9999985737022;9605,67601010574
60;0,6;55,0328578057587;107,89581868256
80;0,8;99,9352647712315;60,3778591319392
97;0,97;100;73,6807657451527
100;1;4,12205719002863;98,7879832601745
120;1,2;99,9998452545477;1408,15514811695
140;1,4;100;498,353499739484
146;1,46;100;5476,0365700627
160;1,6;32,3925331095063;100,75347323375
180;1,8;99,7945483525053;36,4748686717188
195;1,95;100;186,388131668912
200;2;67,9406050850688;83,0190024481661
220;2,2;96,0205764383164;91,4196107198051
240;2,4;99,9999999996388;429935,896433213
244;2,44;100;254946802,673251
260;2,6;35,3859260598542;103,642404732066
280;2,8;99,9852755623841;249,448068486563
293;2,93;100;88405,5743631129
300;3;97,6453816685369;47,3675343712009
320;3,2;99,9999128582383;5118,1537720318
340;3,4;99,9336808008991;17,6013329210618
342;3,42;100;158265,109731657
360;3,6;98,9073228558213;46,134397232558
380;3,8;99,9965116849264;196,462642421974
391;3,91;99,7603636435252;24,6878327345362
400;4;40,1040192885454;96,6450243903582
420;4,2;99,8782879467756;48,2892251957582
440;4,4;99,9999999987222;184529,173764368
460;4,6;99,9268093216232;2,21552367066567
480;4,8;99,8955094632882;6,01519318776056
489;4,89;99,9994885766629;1792,93346657012
500;5;38,7341629727363;95,3345712510025
520;5,2;99,9561310686477;44,6930365481022
538;5,38;100;9788116221,07228
540;5,4;31,7483320616461;72,9379961709403
560;5,6;99,9999999973827;413795,915049974
580;5,8;99,9999999996791;571335,957619761
587;5,87;99,9999999999684;2902109,48693469
600;6;99,9999999004606;98230,5442257273
620;6,2;99,999707148325;1246,89525659086
636;6,36;100;80680,5448637287
640;6,4;99,9954753955829;1646,33855662785
660;6,6;42,9253919197802;94,33038187584
680;6,8;100;157,100201116088
685;6,85;100;47,1084620175532
700;7;61,1585689964795;100,412519896892
720;7,2;99,4997336984328;46,4146181114968
734;7,34;100;19926,8890554904
740;7,4;29,3932651004301;101,162601556588
760;7,6;99,9979552796986;546,276955775616
780;7,8;99,9998110122102;1233,54432613991
783;7,83;100;264814178,699692
800;8;62,8356597537808;84,8682678749368
820;8,2;100;314,181344887802
832;8,32;100;5006,66094516883
840;8,4;99,9999999995832;2208520,65582993
860;8,6;99,8306945184523;12,9565192796991
880;8,8;100;1037,11114098182
881;8,81;100;1065,13928268794
900;9;99,9990991021885;2738,80705813937
920;9,2;99,9999991809096;24999,9608599825
930;9,3;99,9999998364024;51328,4283849812
940;9,4;89,0137672024043;94,9008377781152
960;9,6;99,9373388408866;45,4920465798347
979;9,79;100;14083,1032576298
980;9,8;0,0153023208827543;93,2403378529471
1000;10;99,9912253708136;434,339074532009
1020;10,2;99,9999968755087;7818,12150569556
1028;10,28;100;221428,179668118
1040;10,4;99,9999960040649;11704,6827886571
1060;10,6;99,7859155862174;50,8646510020653
1077;10,77;99,9999999868167;82214,7132475321
1080;10,8;24,3080965884894;100,680870292054
1100;11;99,9999999994021;1825332,4052797
1120;11,2;100;33075,3690564736
1126;11,26;100;17025655,86817
1140;11,4;99,998566697881;1134,69183313132
1160;11,6;99,9999560920078;2830,52189593446
1175;11,75;100;275550514,00574
1180;11,8;99,9999998698462;153952,94407502
1200;12;99,999999705219;35087,5952604516
1220;12,2;99,9999997648074;16433,5479590942
1224;12,24;99,9999998653135;18982,6008235851
