step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
0;0;5,90782724653108;7502,23607334008;7508,14390058662;300,770533542369
1;0,01;3,97511600026804;7503,20098555511;7507,17610155538;300,809217630539
2;0,02;2,67795280953667;7504,50154678695;7507,17949959649;300,861358151282
3;0,03;2,25441632158483;7446,74261423212;7448,99703055371;298,545757203575
4;0,04;2,09114897268139;7456,73802458481;7458,82917355749;298,946481051153
5;0,05;1,81795876297284;7509,74474096463;7511,56269972761;301,071561921848
6;0,06;1,70304757764464;7473,59270596383;7475,29575354147;299,622198458803
7;0,07;1,64539468253659;7461,30080936155;7462,94620404408;299,129406674704
8;0,08;1,93267856957068;7441,44832769692;7443,3810062665;298,333505100288
9;0,09;3,84350126661724;7433,76308172719;7437,60658299381;298,025397556334
10;0,1;6,69429314440356;7446,73805385428;7453,43234699868;298,545574374447
11;0,11;10,2095297525972;7426,89178154885;7437,10131130145;297,749921738116
12;0,12;13,5888085863989;7385,23910043217;7398,82790901856;296,0800330542
13;0,13;15,9350339768954;7368,4639871571;7384,399021134;295,4075055943
14;0,14;17,101713628138;7323,57212172902;7340,67383535715;293,607755468534
15;0,15;16,5439461436054;7328,45552835564;7344,99947449925;293,80353507374
16;0,16;14,8414408575177;7348,73256744204;7363,57400829956;294,616457488478
17;0,17;12,6834254363254;7363,30143088931;7375,98485632564;295,200534660844
18;0,18;10,4687183257575;7375,64245763568;7386,11117596144;295,695296110988
19;0,19;8,05580248350709;7402,2013178072;7410,25712029071;296,760061664347
20;0,2;5,59472003038788;7415,74057044772;7421,33529047811;297,302860931212
21;0,21;3,34547144593646;7415,33874768663;7418,68421913257;297,286751541283
22;0,22;2,09334428683257;7414,1534668967;7416,24681118353;297,239232703953
23;0,23;1,02445561503593;7402,70191593842;7403,72637155345;296,780131036405
24;0,24;0,28952571332916;7417,73129240545;7418,02081811878;297,382670537242
25;0,25;0;7459,07013434162;7459,07013434162;299,039977162043
26;0,26;0;7469,73012074076;7469,73012074076;299,467344385026
27;0,27;0;7487,93936622429;7487,93936622429;300,197367330977
28;0,28;0;7488,54107138221;7488,54107138221;300,221490163106
29;0,29;0;7527,7551241654;7527,7551241654;301,793612322774
30;0,3;0;7498,11213240381;7498,11213240381;300,605201512881
31;0,31;0;7485,10361562685;7485,10361562685;300,083679863422
32;0,32;0;7542,16096948477;7542,16096948477;302,371153970421
33;0,33;0;7519,04716031714;7519,04716031714;301,444503216221
34;0,34;0;7501,55864445124;7501,55864445124;300,743374886423
35;0,35;0;7507,55973796299;7507,55973796299;300,983963436253
36;0,36;0;7542,77882874627;7542,77882874627;302,395924433243
37;0,37;0,0444841300929352;7543,86955416993;7543,91403830003;302,439652471713
38;0,38;0,201367299670089;7551,39733863211;7551,59870593178;302,741447260219
39;0,39;0,416256205822382;7552,11890241981;7552,53515862563;302,770375318906
40;0,4;0,621259943323935;7602,68969562822;7603,31095557155;304,797798117424
41;0,41;0,763406228850526;7632,54020583842;7633,30361206727;305,994528504827
42;0,42;0,850355368536118;7669,13636790915;7669,98672327768;307,461697370751
43;0,43;0,900536031254638;7682,63606972285;7683,53660575411;308,00291101392
44;0,44;0,932520272669745;7686,54752174734;7687,48004202001;308,159724196127
45;0,45;0,922135015065865;7678,04756122939;7678,96969624445;307,818954106373
46;0,46;0,826217402762149;7716,42756022972;7717,25377763248;309,357638395142
47;0,47;0,641075093539299;7734,62437164211;7735,26544673565;310,087162849421
48;0,48;0,378083551647218;7717,81692332844;7718,19500688009;309,413339052439
49;0,49;12492,1922878685;323752,534633802;336244,726921671;12979,4932638197
50;0,5;91,2561134236495;1250023,68242926;1250114,93854269;50114,4307149828
51;0,51;45,3327808583383;1225341,80683954;1225387,1396204;49124,9149469668
52;0,52;25,3530704790962;1201435,34923407;1201460,70230455;48166,4862946539
53;0,53;12,3169206404771;1177375,02976279;1177387,34668343;47201,8891993567
54;0,54;5,08045586205046;1154395,08931364;1154400,1697695;46280,6053471697
55;0,55;2,0754703573102;1131205,87303212;1131207,94850247;45350,9314625786
56;0,56;1,24951880908074;1108990,96294645;1108992,21246526;44460,3182782234
57;0,57;0,729176377336058;1086753,2410375;1086753,97021387;43568,790549965
58;0,58;0,628289494659158;1065223,55746815;1065224,18575765;42705,6486345619
59;0,59;0,783335838009818;1044127,72567631;1044128,50901214;41859,9001774982
60;0,6;0,986870335602524;1023532,01268914;1023532,99955948;41034,2018759149
61;0,61;1,26717190130343;1003373,24517995;1003374,51235185;40226,0210615518
62;0,62;1,40213101608647;983393,506878577;983394,909009593;39425,0176686706
63;0,63;1,89675533857336;964219,782088353;964221,678843691;38656,3279901834
64;0,64;2,39440721910216;945336,519918508;945338,914325728;37899,2831861646
65;0,65;3,00269376217177;926859,141297414;926862,143991176;37158,5105722396
66;0,66;3,70465360627325;908532,531919904;908536,236573511;36423,7824156459
67;0,67;4,55120806717788;891207,617636025;891212,168844092;35729,2130017007
68;0,68;4,8699056524343;874251,199404029;874256,069309681;35049,4168837501
69;0,69;4,752811236494;857063,390502849;857068,143314086;34360,3441322271
70;0,7;4,35010019251413;840158,105645687;840162,455745879;33682,5979914141
71;0,71;3,70018459116835;823953,107659556;823956,807844147;33032,9269009959
72;0,72;2,89928350849982;807586,065644989;807588,964928498;32376,7593382708
73;0,73;2,11980947871919;792006,947474279;792009,067283758;31752,1802609774
74;0,74;1,4110666097713;776505,915454374;776507,326520984;31130,7317187685
75;0,75;0,894347456521547;761441,733855513;761442,62820297;30526,7968528731
76;0,76;0,57196788419648;746562,586421407;746563,158389291;29930,2801518971
77;0,77;0,44278369447153;732223,358644275;732223,801427969;29355,4092538138
78;0,78;0,380027463522925;718239,51786147;718239,897888934;28794,7860993171
79;0,79;0,219705622499333;704218,155487;704218,375192622;28232,6586747554
80;0,8;0,0319026349413762;690369,727033947;690369,758936581;27677,4643068589
81;0,81;0;676733,305174075;676733,305174075;27130,7694497113
82;0,82;0;663730,287725314;663730,287725314;26609,4682726365
83;0,83;0;650942,248507391;650942,248507391;26096,7857415971
84;0,84;0;637865,047740352;637865,047740352;25572,5104970577
85;0,85;0;625643,046230863;625643,046230863;25082,520862097
86;0,86;0;613021,894067338;613021,894067338;24576,5289640771
87;0,87;0;600993,445906995;600993,445906995;24094,2990348258
88;0,88;0;589201,964422057;589201,964422057;23621,5692856138
89;0,89;0;578020,354927368;578020,354927368;23173,289783249
90;0,9;0;566329,405867401;566329,405867401;22704,5904578734
91;0,91;0;555444,604284149;555444,604284149;22268,2102176766
92;0,92;0;544450,76075595;544450,76075595;21827,4584003073
93;0,93;0;533933,835239158;533933,835239158;21405,8266004028
94;0,94;0;523403,275804661;523403,275804661;20983,6482060347
95;0,95;0;513153,700041267;513153,700041267;20572,7346676173
96;0,96;0;503209,368913632;503209,368913632;20174,0586262688
97;0,97;0;493486,460138595;493486,460138595;19784,2595808557
98;0,98;201,891109760074;483873,945275708;484075,836385468;19398,8863140415
99;0,99;123,008334235848;474711,571878996;474834,580213232;19031,5595719737
100;1;87,2946039831784;465497,710194109;465585,004798092;18662,1686240139
101;1,01;70,6541263375628;456280,47191027;456351,126036608;18292,6423055515
102;1,02;56,329052585535;447787,330531105;447843,65958369;17952,1456004239
103;1,03;42,601257865096;439519,689119654;439562,290377519;17620,6893660226
104;1,04;32,335027415091;431263,208456791;431295,543484206;17289,6805747935
