step;time_ps;total_force_error_percent;total_potential_energy_error_kJ_mol
0;0;0,554206494328587;11,6562598663416
20;0,2;0,490335027952495;11,703757425066
34;0,34;0,448877285755508;12,0555855979571
40;0,4;0,291841542063916;11,3882540954281
60;0,6;0,887390758889646;12,0431781607294
69;0,69;0,860187778507803;12,4549997217181
80;0,8;1,00466997454918;11,892319423745
100;1;0,302286480101815;12,6027799893381
104;1,04;0,337385736178283;12,9350030241933
120;1,2;1,71667142831706;11,8006340787763
139;1,39;0,496006431728328;12,7088884563564
140;1,4;0,326937788401025;11,7138758795191
160;1,6;0,43217143085912;11,488292436447
174;1,74;0,641596159033255;11,9252798274727
180;1,8;0,606546916137051;11,4143377862345
200;2;0,994501746745213;11,7692278714685
209;2,09;0,45392042214042;12,424136825434
220;2,2;0,382179377204931;11,5784874072433
240;2,4;0,542891301701152;12,1283927721347
244;2,44;0,539105618972221;12,2563150806018
260;2,6;0,828350968655789;11,8009975623342
279;2,79;0,348751145360189;12,3934768849921
280;2,8;0,328921369211174;11,583458538078
300;3;0,692381438417594;11,8011868540342
314;3,14;0,710661369974968;12,3101775646257
320;3,2;0,69144043894629;11,8582143416212
340;3,4;0,661574599283724;12,3386444072472
349;3,49;0,534511924736778;12,78855331164
360;3,6;0,588305419710719;11,8388613522915
380;3,8;0,574451088247383;12,6800931345366
384;3,84;0,92265190161922;12,9530022559772
400;4;0,506594288962774;11,9024428925104
419;4,19;1,01811206191922;12,4265954981524
420;4,2;0,827998501173711;11,8115015891143
440;4,4;0,589552419282581;11,7513873368066
454;4,54;0,884148731227292;12,3220493742843
460;4,6;0,792030020007128;11,6016616837525
480;4,8;0,583827998345999;11,7340406960308
489;4,89;0,440431364199757;12,3430503119535
500;5;0,452073573164132;11,6066504447284
520;5,2;0,892412690031719;12,1615068967945
524;5,24;0,553755179708037;12,5212486214398
540;5,4;0,484151908244486;11,8540145346191
559;5,59;0,638134023306446;12,6917206216163
560;5,6;0,400364328244624;11,6547441612797
580;5,8;0,853788104819448;11,5759438521877
594;5,94;0,64533880160874;12,4481133144528
600;6;0,403587805718992;11,7375505252853
620;6,2;0,62893361464087;11,9897688865282
629;6,29;0,855420239802463;12,7097368903899
640;6,4;0,280195486637093;11,5367953878824
660;6,6;0,958568369346538;12,3291693277353
664;6,64;0,738013827615046;12,5826337527099
680;6,8;0,515425299083134;11,615823727126
699;6,99;1,27448512571736;12,5516095527467
700;7;0,909321590717762;11,5753148138614
720;7,2;0,354932180174957;11,9554843478766
734;7,34;0,563676117893843;12,4583866061716
740;7,4;0,437619744189704;12,0776219991915
760;7,6;0,440942692502653;11,8898215210005
769;7,69;0,930110817631541;12,3924889521684
780;7,8;0,815811318847221;11,92798815937
800;8;0,993936456877628;12,3233797607403
804;8,04;1,04166444553105;12,6200427108457
820;8,2;0,720227835792531;11,7310635913563
839;8,39;0,523569347652258;12,7886899199677
840;8,4;0,409328962875801;11,9577953194176
860;8,6;0,505043281010574;11,8344873846476
874;8,74;0,852132470760891;12,6597761021496
880;8,8;0,502682082245224;11,7075097790798
900;9;0,553138463153846;11,9609409340154
909;9,09;0,403836722178305;12,6983560772699
920;9,2;0,866787954493417;11,6551509197733
940;9,4;0,496310111613935;12,1901849770216
944;9,44;0,437403166020157;12,6099185952953
960;9,6;0,401486523967276;11,5871137313708
979;9,79;0,962471411713941;12,6838679545945
980;9,8;0,591795059076156;11,7348901859611
1000;10;0,402051731941533;11,919956679076
1014;10,14;0,418877578929377;13,2086427006834
1020;10,2;0,565160138078112;12,0649970365479
1040;10,4;0,505156299084723;12,6106763432932
1049;10,49;0,61813124601227;13,3849488830223
1060;10,6;0,351103341341737;12,0031676868183
1080;10,8;0,545393502719684;12,3149661914468
1084;10,84;0,537275211439818;12,5781318584856
1100;11;0,411257393559798;12,1250897405945
1119;11,19;0,623709965087259;13,1965018053739
1120;11,2;0,453813125019848;11,8802793341981
1140;11,4;0,511106579043273;12,0439299675625
1154;11,54;0,487566816426183;13,0413010093094
1160;11,6;0,435689948820499;11,9976878964749
1180;11,8;0,501151264765697;12,4277698943835
1189;11,89;0,410247474941742;13,1559076708424
1200;12;0,529122998045082;12,2714190074284
1220;12,2;0,6282984773734;12,7077894419054
1224;12,24;0,640537129393395;12,962641491525
1240;12,4;0,551197125503413;12,3132900715349
1259;12,59;1,06208934059779;12,5686336670141
1260;12,6;0,933329798749852;11,693784374331
1280;12,8;0,56860074048018;11,7064417809221
1294;12,94;0,644475645413504;12,5387653178018
1300;13;0,738110720748169;12,2055557134694
1320;13,2;0,393494922551923;12,2413532581805
1329;13,29;0,523449338796066;12,9022827823518
1340;13,4;0,698343464902777;11,7350014396317
1360;13,6;0,719761688128733;12,3816687067796
1364;13,64;0,744629671515443;12,8191924713062
1380;13,8;0,261323416966282;11,9497872988929
1399;13,99;0,828629066667339;12,9099411454308
1400;14;0,466646859552854;11,7166467947771
1420;14,2;0,288876505435215;11,8355976491073
1434;14,34;0,555408309643923;12,7119802224095
1440;14,4;0,517468543816416;11,8839399435868
1460;14,6;0,560662124605172;12,1850094059861
1469;14,69;1,16657316391395;12,7446379666131
1480;14,8;0,33748834200024;11,9138438378401
1500;15;0,464412348840762;12,2160029699895
1504;15,04;0,318946802519606;12,4686542167315
1520;15,2;0,936041891790753;11,7358005573625
1539;15,39;0,681477053029636;12,5533885632956
1540;15,4;0,535505864471206;11,7503492799558
1560;15,6;0,59109046876223;12,0097041139836
1574;15,74;0,575818543354221;12,8145945452667
1580;15,8;0,1693006773453;11,9506018405539
1600;16;0,846706206578499;12,1693886635612
1609;16,09;0,643146121231236;12,6598136419283
1620;16,2;0,680180695130359;11,9702458661272
1640;16,4;1,04801703347373;12,7253544807475
1644;16,44;0,612112210985584;12,9542145329135
1660;16,6;0,519945951785766;12,0407173149834
1679;16,79;0,56794204647647;12,8261147699624
1680;16,8;0,453091867381526;11,8117099132735
1700;17;0,706592354556286;11,95493078438
1714;17,14;0,572559309065011;12,7669853033831
1720;17,2;0,436755253145554;11,7842453041009
1740;17,4;0,353241178031697;12,1675188379277
1749;17,49;0,738055035116675;12,7258662439032
1760;17,6;0,454074803353257;11,7312768714
1780;17,8;0,310104278958857;11,9002466595244
1784;17,84;0,37764533185088;12,1868789453242
1800;18;0,333525249411854;11,7659927078321
1819;18,19;0,929159029837578;12,9495156201328
1820;18,2;0,908017352646379;12,1117431456647
1840;18,4;0,852348979678523;12,0712204218204
1854;18,54;0,699447868004243;12,6776515434517
1860;18,6;0,439448672872125;12,1318591435265
1880;18,8;0,466800543657887;12,3918656666252
1889;18,89;0,614595850076052;13,0042419699171
1900;19;0,509257195285264;11,8673880202628
1920;19,2;0,771854930059154;12,4313548657105
1924;19,24;0,696947123033034;12,8468269174415
1940;19,4;0,501057025321037;11,9760491957087
1959;19,59;0,967176340605497;12,5920023761096
1960;19,6;0,753908677118245;11,8440576982467
1980;19,8;1,16596340520065;12,3657754983057
1994;19,94;1,23584927048358;13,0183747724411
2000;20;0,303312411713985;12,1753894344538
2020;20,2;0,549430342151786;12,2594072235768
2029;20,29;0,623285427027515;12,730265463259
2040;20,4;0,481849029882532;11,8087793359016
2060;20,6;0,530275794348743;12,2570386263614
2064;20,64;0,802188390769864;12,5427103571033
2080;20,8;0,338258258933975;11,6260779982192
2099;20,99;0,610413504796149;12,5299641694591
2100;21;0,544143800740629;11,5891729074152
2120;21,2;0,431861518513302;11,5972838068976
2134;21,34;0,495771693254104;12,3308435411872
2140;21,4;0,443885718305024;11,637875799465
2160;21,6;0,628042005843384;11,7146928910912
2169;21,69;0,704747148242345;12,3709596977498
2180;21,8;0,476568276314617;11,2768165536962
2200;22;0,265400365825064;12,0056827246597
2204;22,04;0,437482626056437;12,4177095801924
2220;22,2;0,26375667510499;11,2522938752827
2239;22,39;1,01093828895194;12,3293611300493
2240;22,4;0,742827463555526;11,569139841359
2260;22,6;0,824469378719318;11,4281270554458
2274;22,74;0,707897962381456;12,4042336404746
2280;22,8;0,229408282746633;11,603973666799
2300;23;0,668015529996129;11,9237209885084
2309;23,09;0,501510127829765;12,2467757905942
2320;23,2;0,216372757661986;11,5083004815824
2340;23,4;0,564477634215282;11,6566163326187
2344;23,44;0,577514412541867;11,9013759969468
2360;23,6;0,528959334342591;11,7593532239875
2379;23,79;0,409578267697105;12,1614655945169
2380;23,8;0,385624882210597;11,7584775761018
2400;24;0,615602966875161;11,8147409994694
2414;24,14;1,45267536000956;12,5519152694042
2420;24,2;0,651525141886535;11,8011419125461
