step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
0;0;-103,878546244713;7502,23607334008;7398,35752709537;300,770533542369
1;0,01;-105,88429292397;7503,32467564196;7397,44038271799;300,814176463219
2;0,02;-107,355476079486;7504,65409170015;7397,29861562066;300,867473796602
3;0,03;-108,251428190009;7447,43598844777;7339,18456025776;298,573555120188
4;0,04;-108,907924914967;7457,87347741875;7348,96555250378;298,992002246612
5;0,05;-109,333988543076;7511,33890541122;7402,00491686815;301,135473225953
6;0,06;-109,492533010395;7474,81005838546;7365,31752537506;299,671003073025
7;0,07;-109,194061867954;7462,32694027011;7353,13287840216;299,170545068355
8;0,08;-108,492158401224;7442,60124604134;7334,10908764012;298,379726501773
9;0,09;-107,285105872367;7435,18102693527;7327,8959210629;298,082244092833
10;0,1;-105,47981446485;7448,8214810855;7343,34166662065;298,629100607666
11;0,11;-103,061945032706;7429,09942467549;7326,03747964279;297,838427884094
12;0,12;-100,365898264389;7387,91240837754;7287,54651011315;296,187208068315
13;0,13;-98,2898264709199;7371,35229874365;7273,06247227273;295,52330027317
14;0,14;-97,1419648652178;7326,0729715657;7228,93100670048;293,70801650169
15;0,15;-97,0901201312839;7330,82539183503;7233,73527170375;293,898544761005
16;0,16;-97,8277328828514;7349,48085962534;7251,65312674249;294,646457109526
17;0,17;-98,7448713524962;7362,85674188674;7264,11187053425;295,182706729644
18;0,18;-99,8130994876818;7374,00879111637;7274,19569162868;295,629801137777
19;0,19;-101,253497179485;7399,39171695409;7298,13821977461;296,64742256057
20;0,2;-103,076669788486;7412,14647721413;7309,06980742564;297,158770912063
21;0,21;-105,074404847146;7412,85775428758;7307,78334944043;297,1872865683
22;0,22;-106,837524863106;7411,35751131271;7304,5199864496;297,127140649725
23;0,23;-108,167707546265;7401,07010284572;7292,90239529946;296,714710368522
24;0,24;-109,144349279283;7418,31363918271;7309,16928990342;297,406017276693
25;0,25;-109,573606088993;7458,02477575743;7348,45116966843;298,998067915781
26;0,26;-109,71701559434;7466,48701842339;7356,77000282905;299,337325867241
27;0,27;-109,50262058748;7485,49728615634;7375,99466556886;300,099462423986
28;0,28;-108,891469468787;7484,12837874757;7375,23690927878;300,044581851356
29;0,29;-108,097356947771;7521,6338299681;7413,53647302033;301,548204833101
30;0,3;-107,021555191996;7491,0321237486;7384,01056855661;300,321358407986
31;0,31;-105,549624456439;7473,65374816761;7368,10412371117;299,624645688672
32;0,32;-103,929353512344;7530,6926723979;7426,76331888556;301,911380937432
33;0,33;-102,442127429355;7506,70432267197;7404,26219524261;300,949669165723
34;0,34;-101,414272182083;7488,79145754854;7387,37718536646;300,231528341071
35;0,35;-101,589987997536;7499,43910651915;7397,84911852162;300,658400946859
36;0,36;-101,359934253881;7532,18754492739;7430,82761067351;301,971311550636
37;0,37;-100,695312725027;7532,41640707774;7431,72109435271;301,980486813903
38;0,38;-99,1416683821281;7534,75221003622;7435,61054165409;302,074130988147
39;0,39;-97,0782104811899;7535,0777891294;7437,99957864821;302,087183709577
40;0,4;-95,2887510386191;7586,30749313654;7491,01874209792;304,14102275927
41;0,41;-94,2095878422669;7614,03104381499;7519,82145597272;305,252481669351
42;0,42;-93,3754321661124;7650,90254016254;7557,52710799643;306,730688902574
43;0,43;-92,9447853561354;7664,65405459628;7571,70926924014;307,281997911358
44;0,44;-92,9789691353195;7665,54280607859;7572,56383694327;307,317628655966
45;0,45;-93,8251209226097;7659,77603503559;7565,95091411298;307,086434277855
46;0,46;-95,9290763921194;7704,03481084264;7608,10573445052;308,860803343729
47;0,47;-98,7660957777562;7724,0879630804;7625,32186730265;309,664749958951
48;0,48;-101,612782362964;7706,97618833649;7605,36340597353;308,978725476481
49;0,49;-103,640858206399;7651,79912794634;7548,15826973994;306,766633810661
50;0,5;-104,843969470176;7663,64803400192;7558,80406453175;307,24166575599
51;0,51;-105,442282769555;7700,51637357509;7595,07409080554;308,71974643165
52;0,52;-105,545938895587;7716,32376234196;7610,77782344638;309,353477056339
53;0,53;-105,730258703098;7688,30121881887;7582,57096011577;308,230031288402
54;0,54;-105,911916592915;7665,27015150091;7559,35823490799;307,306697719909
55;0,55;-106,314915617562;7630,16785957933;7523,85294396177;305,899419280974
56;0,56;-107,079866989119;7651,80738599283;7544,72751900371;306,766964882228
57;0,57;-107,921050959317;7589,72498618421;7481,8039352249;304,278032738332
58;0,58;-108,46526648392;7542,29729584242;7433,8320293585;302,376619401117
59;0,59;-108,667329040741;7585,01141865496;7476,34408961422;304,089062115867
60;0,6;-108,59863400138;7613,8872251693;7505,28859116792;305,246715866946
61;0,61;-108,270636661336;7619,61213461098;7511,34149794964;305,476231980598
62;0,62;-107,74236378679;7616,35807561834;7508,61571183155;305,345774201101
63;0,63;-107,057279052403;7647,54577108876;7540,48849203635;306,596113395295
64;0,64;-106,315685330693;7645,46142278048;7539,14573744978;306,512550235373
65;0,65;-105,523623674645;7643,43522227582;7537,91159860117;306,431318266545
